Symbol Name	USR	Module Name
DISPATCH_ALIAS_V2	c:@macro@DISPATCH_ALIAS_V2	CDispatch
DISPATCH_ALWAYS_INLINE	c:@macro@DISPATCH_ALWAYS_INLINE	CDispatch
DISPATCH_API_VERSION	c:@macro@DISPATCH_API_VERSION	CDispatch
DISPATCH_APPLY_AUTO	c:@macro@DISPATCH_APPLY_AUTO	CDispatch
DISPATCH_APPLY_AUTO_AVAILABLE	c:@macro@DISPATCH_APPLY_AUTO_AVAILABLE	CDispatch
DISPATCH_APPLY_QUEUE_ARG_NULLABILITY	c:@macro@DISPATCH_APPLY_QUEUE_ARG_NULLABILITY	CDispatch
DISPATCH_ASSUME_NONNULL_BEGIN	c:@macro@DISPATCH_ASSUME_NONNULL_BEGIN	CDispatch
DISPATCH_ASSUME_NONNULL_END	c:@macro@DISPATCH_ASSUME_NONNULL_END	CDispatch
DISPATCH_AUTORELEASE_FREQUENCY_INHERIT	c:@Ea@DISPATCH_AUTORELEASE_FREQUENCY_INHERIT@DISPATCH_AUTORELEASE_FREQUENCY_INHERIT	CDispatch
DISPATCH_AUTORELEASE_FREQUENCY_NEVER	c:@Ea@DISPATCH_AUTORELEASE_FREQUENCY_INHERIT@DISPATCH_AUTORELEASE_FREQUENCY_NEVER	CDispatch
DISPATCH_AUTORELEASE_FREQUENCY_WORK_ITEM	c:@Ea@DISPATCH_AUTORELEASE_FREQUENCY_INHERIT@DISPATCH_AUTORELEASE_FREQUENCY_WORK_ITEM	CDispatch
DISPATCH_BLOCK_ASSIGN_CURRENT	c:@Ea@DISPATCH_BLOCK_BARRIER@DISPATCH_BLOCK_ASSIGN_CURRENT	CDispatch
DISPATCH_BLOCK_BARRIER	c:@Ea@DISPATCH_BLOCK_BARRIER@DISPATCH_BLOCK_BARRIER	CDispatch
DISPATCH_BLOCK_DETACHED	c:@Ea@DISPATCH_BLOCK_BARRIER@DISPATCH_BLOCK_DETACHED	CDispatch
DISPATCH_BLOCK_ENFORCE_QOS_CLASS	c:@Ea@DISPATCH_BLOCK_BARRIER@DISPATCH_BLOCK_ENFORCE_QOS_CLASS	CDispatch
DISPATCH_BLOCK_INHERIT_QOS_CLASS	c:@Ea@DISPATCH_BLOCK_BARRIER@DISPATCH_BLOCK_INHERIT_QOS_CLASS	CDispatch
DISPATCH_BLOCK_NO_QOS_CLASS	c:@Ea@DISPATCH_BLOCK_BARRIER@DISPATCH_BLOCK_NO_QOS_CLASS	CDispatch
DISPATCH_COLD	c:@macro@DISPATCH_COLD	CDispatch
DISPATCH_COMPILER_CAN_ASSUME	c:@macro@DISPATCH_COMPILER_CAN_ASSUME	CDispatch
DISPATCH_CONST	c:@macro@DISPATCH_CONST	CDispatch
DISPATCH_CURRENT_QUEUE_LABEL	c:@macro@DISPATCH_CURRENT_QUEUE_LABEL	CDispatch
DISPATCH_DATA_DECL	c:@macro@DISPATCH_DATA_DECL	CDispatch
DISPATCH_DATA_DESTRUCTOR_DEFAULT	c:@macro@DISPATCH_DATA_DESTRUCTOR_DEFAULT	CDispatch
DISPATCH_DATA_DESTRUCTOR_FREE	c:@macro@DISPATCH_DATA_DESTRUCTOR_FREE	CDispatch
DISPATCH_DATA_DESTRUCTOR_MUNMAP	c:@macro@DISPATCH_DATA_DESTRUCTOR_MUNMAP	CDispatch
DISPATCH_DATA_DESTRUCTOR_TYPE_DECL	c:@macro@DISPATCH_DATA_DESTRUCTOR_TYPE_DECL	CDispatch
DISPATCH_DECL	c:@macro@DISPATCH_DECL	CDispatch
DISPATCH_DECL_SUBCLASS	c:@macro@DISPATCH_DECL_SUBCLASS	CDispatch
DISPATCH_ENUM	c:@macro@DISPATCH_ENUM	CDispatch
DISPATCH_ENUM_API_AVAILABLE	c:@macro@DISPATCH_ENUM_API_AVAILABLE	CDispatch
DISPATCH_ENUM_API_DEPRECATED	c:@macro@DISPATCH_ENUM_API_DEPRECATED	CDispatch
DISPATCH_ENUM_API_DEPRECATED_WITH_REPLACEMENT	c:@macro@DISPATCH_ENUM_API_DEPRECATED_WITH_REPLACEMENT	CDispatch
DISPATCH_EXPECT	c:@macro@DISPATCH_EXPECT	CDispatch
DISPATCH_EXPORT	c:@macro@DISPATCH_EXPORT	CDispatch
DISPATCH_FALLTHROUGH	c:@macro@DISPATCH_FALLTHROUGH	CDispatch
DISPATCH_FREEBSD_UNAVAILABLE	c:@macro@DISPATCH_FREEBSD_UNAVAILABLE	CDispatch
DISPATCH_GLOBAL_OBJECT	c:@macro@DISPATCH_GLOBAL_OBJECT	CDispatch
DISPATCH_INLINE	c:@macro@DISPATCH_INLINE	CDispatch
DISPATCH_IO_RANDOM	c:@macro@DISPATCH_IO_RANDOM	CDispatch
DISPATCH_IO_STOP	c:@macro@DISPATCH_IO_STOP	CDispatch
DISPATCH_IO_STREAM	c:@macro@DISPATCH_IO_STREAM	CDispatch
DISPATCH_IO_STRICT_INTERVAL	c:@macro@DISPATCH_IO_STRICT_INTERVAL	CDispatch
DISPATCH_LINUX_UNAVAILABLE	c:@macro@DISPATCH_LINUX_UNAVAILABLE	CDispatch
DISPATCH_MACH_SEND_DEAD	c:@macro@DISPATCH_MACH_SEND_DEAD	CDispatch
DISPATCH_MALLOC	c:@macro@DISPATCH_MALLOC	CDispatch
DISPATCH_MEMORYPRESSURE_CRITICAL	c:@macro@DISPATCH_MEMORYPRESSURE_CRITICAL	CDispatch
